      'CASE',      'RAD?',     'TRIM?',      'MACH',        'RE',       'ALT',         'Q',      'BETA',       'PHI',     'ALPHA',        'CL',        'CD',     'CL/CD'
1,0,0,3,1.10E+06,75000,466.1241,0,0,5,0.63752,0.4768,1.337080537
1,0,0,4,1.40E+06,75000,828.665,0,0,5,0.60372,0.3944,1.530730223
1,0,0,1,3.50E+05,75000,51.7916,0,0,10,2.236845,1.4299,1.564336667
1,0,0,1.25,4.40E+05,75000,80.9243,0,0,10,1.670695,1.1028,1.514957381
1,0,0,1.5,5.30E+05,75000,116.531,0,0,10,1.74772,1.0767,1.623219095
1,0,0,1.75,6.20E+05,75000,158.6117,0,0,10,1.726335,1.0288,1.678008359
1,0,0,2,7.10E+05,75000,207.1663,0,0,10,1.70508,0.9886,1.724742059
1,0,0,2.5,8.80E+05,75000,323.6973,0,0,10,1.6523,0.9112,1.81332309
1,0,0,3,1.10E+06,75000,466.1241,0,0,10,1.61577,0.8484,1.904490806
1,0,0,4,1.40E+06,75000,828.665,0,0,10,1.55142,0.7527,2.061139896
1,0,0,1,3.50E+05,75000,51.7916,0,0,15,3.5945,2.3108,1.555521897
1,0,0,1.25,4.40E+05,75000,80.9243,0,0,15,2.69984,1.7796,1.517104967
1,0,0,1.5,5.30E+05,75000,116.531,0,0,15,2.892305,1.8199,1.589265894
1,0,0,1.75,6.20E+05,75000,158.6117,0,0,15,2.90927,1.7886,1.626562675
1,0,0,2,7.10E+05,75000,207.1663,0,0,15,2.87846,1.7412,1.653147255
1,0,0,2.5,8.80E+05,75000,323.6973,0,0,15,2.841995,1.6627,1.709265051
1,0,0,3,1.10E+06,75000,466.1241,0,0,15,2.78681,1.5867,1.756355959
1,0,0,4,1.40E+06,75000,828.665,0,0,15,2.576925,1.4214,1.812948501
1,0,0,1,3.50E+05,75000,51.7916,0,0,20,5.111405,3.6999,1.381498149
1,0,0,1.25,4.40E+05,75000,80.9243,0,0,20,4.00452,2.9382,1.362916071
1,0,0,1.5,5.30E+05,75000,116.531,0,0,20,4.15727,2.9788,1.395619041
1,0,0,1.75,6.20E+05,75000,158.6117,0,0,20,4.31925,3.0414,1.420151904
1,0,0,2,7.10E+05,75000,207.1663,0,0,20,4.2718,2.9831,1.432000268
1,0,0,2.5,8.80E+05,75000,323.6973,0,0,20,4.157595,2.855,1.456250438
1,0,0,3,1.10E+06,75000,466.1241,0,0,20,3.970915,2.6967,1.472508992
1,0,0,4,1.40E+06,75000,828.665,0,0,20,3.681535,2.4551,1.499545843
